year,originregion,destinationregion,fe_year
1990.0,ANZ,LAM,-30.46494290950616
1990.0,ANZ,FSU,-30.46494290950616
1990.0,ANZ,MDE,-30.46494290950616
1990.0,ANZ,CAM,-30.46494290950616
1990.0,ANZ,SEA,-30.46494290950616
1990.0,ANZ,CAN,-30.46494290950616
1990.0,ANZ,CHI,-30.46494290950616
1990.0,ANZ,JPK,-30.46494290950616
1990.0,ANZ,USA,-30.46494290950616
1990.0,MDE,SAS,-30.46494290950616
1990.0,MDE,EEU,-30.46494290950616
1990.0,MDE,MAF,-30.46494290950616
1990.0,MDE,SIS,-30.46494290950616
1990.0,MDE,WEU,-30.46494290950616
1990.0,MDE,SSA,-30.46494290950616
1990.0,MDE,LAM,-30.46494290950616
1990.0,MDE,FSU,-30.46494290950616
1990.0,MDE,ANZ,-30.46494290950616
1990.0,MDE,CAM,-30.46494290950616
1990.0,MDE,SEA,-30.46494290950616
1990.0,MDE,CAN,-30.46494290950616
1990.0,MDE,CHI,-30.46494290950616
1990.0,MDE,JPK,-30.46494290950616
1990.0,MDE,USA,-30.46494290950616
1990.0,CAM,SAS,-30.46494290950616
1990.0,CAM,EEU,-30.46494290950616
1990.0,CAM,MAF,-30.46494290950616
1990.0,CAM,SIS,-30.46494290950616
1990.0,CAM,WEU,-30.46494290950616
1990.0,CAM,SSA,-30.46494290950616
1990.0,CAM,LAM,-30.46494290950616
1990.0,CAM,FSU,-30.46494290950616
1990.0,CAM,ANZ,-30.46494290950616
1990.0,CAM,MDE,-30.46494290950616
1990.0,CAM,SEA,-30.46494290950616
1990.0,CAM,CAN,-30.46494290950616
1990.0,CAM,CHI,-30.46494290950616
1990.0,CAM,JPK,-30.46494290950616
1990.0,CAM,USA,-30.46494290950616
1990.0,SEA,SAS,-30.46494290950616
1990.0,SEA,EEU,-30.46494290950616
1990.0,SEA,MAF,-30.46494290950616
1990.0,SEA,SIS,-30.46494290950616
1990.0,SEA,WEU,-30.46494290950616
1990.0,SEA,SSA,-30.46494290950616
1990.0,SEA,LAM,-30.46494290950616
1990.0,SEA,FSU,-30.46494290950616
1990.0,SEA,ANZ,-30.46494290950616
1990.0,SEA,MDE,-30.46494290950616
1990.0,SEA,CAM,-30.46494290950616
1990.0,SEA,CAN,-30.46494290950616
1990.0,SEA,CHI,-30.46494290950616
1990.0,SEA,JPK,-30.46494290950616
1990.0,SEA,USA,-30.46494290950616
1990.0,CAN,SAS,-30.46494290950616
1990.0,CAN,EEU,-30.46494290950616
1990.0,CAN,MAF,-30.46494290950616
1990.0,CAN,SIS,-30.46494290950616
1990.0,CAN,WEU,-30.46494290950616
1990.0,CAN,SSA,-30.46494290950616
1990.0,CAN,LAM,-30.46494290950616
1990.0,CAN,FSU,-30.46494290950616
1990.0,CAN,ANZ,-30.46494290950616
1990.0,CAN,MDE,-30.46494290950616
1990.0,CAN,CAM,-30.46494290950616
1990.0,CAN,SEA,-30.46494290950616
1990.0,CAN,CHI,-30.46494290950616
1990.0,CAN,JPK,-30.46494290950616
1990.0,CAN,USA,-30.46494290950616
1990.0,CHI,SAS,-30.46494290950616
1990.0,CHI,EEU,-30.46494290950616
1990.0,CHI,MAF,-30.46494290950616
1990.0,CHI,SIS,-30.46494290950616
1990.0,CHI,WEU,-30.46494290950616
1990.0,CHI,SSA,-30.46494290950616
1990.0,CHI,LAM,-30.46494290950616
1990.0,CHI,FSU,-30.46494290950616
1990.0,CHI,ANZ,-30.46494290950616
1990.0,CHI,MDE,-30.46494290950616
1990.0,CHI,CAM,-30.46494290950616
1990.0,CHI,SEA,-30.46494290950616
1990.0,CHI,CAN,-30.46494290950616
1990.0,CHI,JPK,-30.46494290950616
1990.0,CHI,USA,-30.46494290950616
1990.0,JPK,SAS,-30.46494290950616
1990.0,JPK,EEU,-30.46494290950616
1990.0,JPK,MAF,-30.46494290950616
1990.0,JPK,SIS,-30.46494290950616
1990.0,JPK,WEU,-30.46494290950616
1990.0,JPK,SSA,-30.46494290950616
1990.0,JPK,LAM,-30.46494290950616
1990.0,JPK,FSU,-30.46494290950616
1990.0,JPK,ANZ,-30.46494290950616
1990.0,JPK,MDE,-30.46494290950616
1990.0,JPK,CAM,-30.46494290950616
1990.0,JPK,SEA,-30.46494290950616
1990.0,JPK,CAN,-30.46494290950616
1990.0,JPK,CHI,-30.46494290950616
1990.0,JPK,USA,-30.46494290950616
1990.0,USA,SAS,-30.46494290950616
1990.0,USA,EEU,-30.46494290950616
1990.0,USA,MAF,-30.46494290950616
1990.0,USA,SIS,-30.46494290950616
1990.0,USA,WEU,-30.46494290950616
1990.0,USA,SSA,-30.46494290950616
1990.0,USA,LAM,-30.46494290950616
1990.0,USA,FSU,-30.46494290950616
1990.0,USA,ANZ,-30.46494290950616
1990.0,USA,MDE,-30.46494290950616
1990.0,USA,CAM,-30.46494290950616
1990.0,USA,SEA,-30.46494290950616
1990.0,USA,CAN,-30.46494290950616
1990.0,USA,CHI,-30.46494290950616
1990.0,USA,JPK,-30.46494290950616
1995.0,SAS,EEU,-30.569267739554647
1995.0,SAS,MAF,-30.569267739554647
1995.0,SAS,SIS,-30.569267739554647
1995.0,SAS,WEU,-30.569267739554647
1995.0,SAS,SSA,-30.569267739554647
1995.0,SAS,LAM,-30.569267739554647
1995.0,SAS,FSU,-30.569267739554647
1995.0,SAS,ANZ,-30.569267739554647
1995.0,SAS,MDE,-30.569267739554647
1995.0,SAS,CAM,-30.569267739554647
1995.0,SAS,SEA,-30.569267739554647
1995.0,SAS,CAN,-30.569267739554647
1995.0,SAS,CHI,-30.569267739554647
1995.0,SAS,JPK,-30.569267739554647
1995.0,SAS,USA,-30.569267739554647
1995.0,EEU,SAS,-30.569267739554647
1995.0,EEU,MAF,-30.569267739554647
1995.0,EEU,SIS,-30.569267739554647
1995.0,EEU,WEU,-30.569267739554647
1995.0,EEU,SSA,-30.569267739554647
1995.0,EEU,LAM,-30.569267739554647
1995.0,EEU,FSU,-30.569267739554647
1995.0,EEU,ANZ,-30.569267739554647
1995.0,EEU,MDE,-30.569267739554647
1995.0,EEU,CAM,-30.569267739554647
1995.0,EEU,SEA,-30.569267739554647
1995.0,EEU,CAN,-30.569267739554647
1995.0,EEU,CHI,-30.569267739554647
1995.0,EEU,JPK,-30.569267739554647
1995.0,EEU,USA,-30.569267739554647
1995.0,MAF,SAS,-30.569267739554647
1995.0,MAF,EEU,-30.569267739554647
1995.0,MAF,SIS,-30.569267739554647
1995.0,MAF,WEU,-30.569267739554647
1995.0,MAF,SSA,-30.569267739554647
1995.0,MAF,LAM,-30.569267739554647
1995.0,MAF,FSU,-30.569267739554647
1995.0,MAF,ANZ,-30.569267739554647
1995.0,MAF,MDE,-30.569267739554647
1995.0,MAF,CAM,-30.569267739554647
1995.0,MAF,SEA,-30.569267739554647
1995.0,MAF,CAN,-30.569267739554647
1995.0,MAF,CHI,-30.569267739554647
1995.0,MAF,JPK,-30.569267739554647
1995.0,MAF,USA,-30.569267739554647
1995.0,SIS,SAS,-30.569267739554647
1995.0,SIS,EEU,-30.569267739554647
1995.0,SIS,MAF,-30.569267739554647
1995.0,SIS,WEU,-30.569267739554647
1995.0,SIS,SSA,-30.569267739554647
1995.0,SIS,LAM,-30.569267739554647
1995.0,SIS,FSU,-30.569267739554647
1995.0,SIS,ANZ,-30.569267739554647
1995.0,SIS,MDE,-30.569267739554647
1995.0,SIS,CAM,-30.569267739554647
1995.0,SIS,SEA,-30.569267739554647
1995.0,SIS,CAN,-30.569267739554647
1995.0,SIS,CHI,-30.569267739554647
1995.0,SIS,JPK,-30.569267739554647
1995.0,SIS,USA,-30.569267739554647
1995.0,WEU,SAS,-30.569267739554647
1995.0,WEU,EEU,-30.569267739554647
1995.0,WEU,MAF,-30.569267739554647
1995.0,WEU,SIS,-30.569267739554647
1995.0,WEU,SSA,-30.569267739554647
1995.0,WEU,LAM,-30.569267739554647
1995.0,WEU,FSU,-30.569267739554647
1995.0,WEU,ANZ,-30.569267739554647
1995.0,WEU,MDE,-30.569267739554647
1995.0,WEU,CAM,-30.569267739554647
1995.0,WEU,SEA,-30.569267739554647
1995.0,WEU,CAN,-30.569267739554647
1995.0,WEU,CHI,-30.569267739554647
1995.0,WEU,JPK,-30.569267739554647
1995.0,WEU,USA,-30.569267739554647
1995.0,SSA,SAS,-30.569267739554647
1995.0,SSA,EEU,-30.569267739554647
1995.0,SSA,MAF,-30.569267739554647
1995.0,SSA,SIS,-30.569267739554647
1995.0,SSA,WEU,-30.569267739554647
1995.0,SSA,LAM,-30.569267739554647
1995.0,SSA,FSU,-30.569267739554647
1995.0,SSA,ANZ,-30.569267739554647
1995.0,SSA,MDE,-30.569267739554647
1995.0,SSA,CAM,-30.569267739554647
1995.0,SSA,SEA,-30.569267739554647
1995.0,SSA,CAN,-30.569267739554647
1995.0,SSA,CHI,-30.569267739554647
1995.0,SSA,JPK,-30.569267739554647
1995.0,SSA,USA,-30.569267739554647
